"STATION","NAME","DATE","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00190120","AMHERST, MA US","2000-03-10",,"0.11","0.0","0.0","65","38","38"
"USC00190120","AMHERST, MA US","2000-03-11",,"0.00","0.0","0.0","46","34","33"
"USC00190120","AMHERST, MA US","2000-03-12",,"1.94","1.1","1.0","38","32","35"
"USC00190120","AMHERST, MA US","2000-03-13",,"0.23","0.0","1.0","39","23","29"
"USC00190120","AMHERST, MA US","2000-03-14",,"0.00","0.0","0.0","39","22","27"
"USC00190120","AMHERST, MA US","2000-03-15",,"0.00","0.0","0.0","51","26","33"
"USC00190120","AMHERST, MA US","2000-03-16",,"0.00","0.0","0.0","61","32","49"
"USC00190120","AMHERST, MA US","2000-03-17",,"0.91","0.0","0.0","69","32","32"
"USC00190120","AMHERST, MA US","2000-03-18",,"0.04","1.2","1.0","32","15","24"
"USC00190120","AMHERST, MA US","2000-03-19",,"0.00","0.0","0.0","37","20","23"
"USC00190120","AMHERST, MA US","2000-03-20",,"0.00","0.0","0.0","46","23","31"
"USC00190120","AMHERST, MA US","2000-03-21",,"0.00","0.0","0.0","49","27","37"
"USC00190120","AMHERST, MA US","2000-03-22",,"0.00","0.0","0.0","48","36","42"
"USC00190120","AMHERST, MA US","2000-03-23",,"0.00","0.0","0.0","54","27","33"
"USC00190120","AMHERST, MA US","2000-03-24",,"0.00","0.0","0.0","67","28","38"
"USC00190120","AMHERST, MA US","2000-03-25",,"0.00","0.0","0.0","67","28","41"
"USC00190120","AMHERST, MA US","2000-03-26",,"0.03","0.0","0.0","62","29","47"
"USC00190120","AMHERST, MA US","2000-03-27",,"0.00","0.0","0.0","61","28","35"
"USC00190120","AMHERST, MA US","2000-03-28",,"0.45","0.0","0.0","59","35","54"
"USC00190120","AMHERST, MA US","2000-03-29",,"0.11","0.0","0.0","58","37","46"
"USC00190120","AMHERST, MA US","2000-03-30",,"0.00","0.0","0.0","55","41","42"
"USC00190120","AMHERST, MA US","2000-03-31",,"0.00","0.0","0.0","50","25","35"
"USC00190120","AMHERST, MA US","2000-04-01",,"0.00","0.0","0.0","51","25","41"
"USC00190120","AMHERST, MA US","2000-04-02",,"0.00","0.0","0.0","63","37","40"
"USC00190120","AMHERST, MA US","2000-04-03",,"0.00","0.0","0.0","64","39","50"
"USC00190120","AMHERST, MA US","2000-04-04",,"0.52","0.0","0.0","55","48","52"
"USC00190120","AMHERST, MA US","2000-04-05",,"0.18","0.0","0.0","62","38","39"
"USC00190120","AMHERST, MA US","2000-04-06",,"0.00","0.0","0.0","44","31","34"
"USC00190120","AMHERST, MA US","2000-04-07",,"0.02","0.0","0.0","59","33","47"
"USC00190120","AMHERST, MA US","2000-04-08",,"0.00","0.0","0.0","63","47","51"
"USC00190120","AMHERST, MA US","2000-04-09",,"0.77","0.0","0.0","73","32","42"
"USC00190120","AMHERST, MA US","2000-04-10",,"0.19","0.0","0.0","42","28","37"
"USC00190120","AMHERST, MA US","2000-04-11",,"0.00","0.0","0.0","48","26","29"
"USC00190120","AMHERST, MA US","2000-04-12",,"0.08","0.0","0.0","47","27","38"
"USC00190120","AMHERST, MA US","2000-04-13",,"0.00","0.0","0.0","43","25","29"
"USC00190120","AMHERST, MA US","2000-04-14",,"0.00","0.0","0.0","50","27","30"
"USC00190120","AMHERST, MA US","2000-04-15",,"0.00","0.0","0.0","58","28","37"
"USC00190120","AMHERST, MA US","2000-04-16",,"0.00","0.0","0.0","73","42","58"
"USC00190120","AMHERST, MA US","2000-04-17",,"0.00","0.0","0.0","75","41","41"
"USC00190120","AMHERST, MA US","2000-04-18",,"0.20","0.0","0.0","53","36","37"
"USC00190120","AMHERST, MA US","2000-04-19",,"0.08","0.0","0.0","46","36","40"
"USC00190120","AMHERST, MA US","2000-04-20",,"0.00","0.0","0.0","48","40","44"
"USC00190120","AMHERST, MA US","2000-04-21",,"0.04","0.0","0.0","64","43","48"
"USC00190120","AMHERST, MA US","2000-04-22",,"1.53","0.0","0.0","48","40","42"
"USC00190120","AMHERST, MA US","2000-04-23",,"0.09","0.0","0.0","47","41","43"
"USC00190120","AMHERST, MA US","2000-04-24",,"0.01","0.0","0.0","50","40","45"
"USC00190120","AMHERST, MA US","2000-04-25",,"0.00","0.0","0.0","55","31","38"
"USC00190120","AMHERST, MA US","2000-04-26",,"0.00","0.0","0.0","60","35","39"
"USC00190120","AMHERST, MA US","2000-04-27",,"0.36","0.0","0.0","39","35","37"
"USC00190120","AMHERST, MA US","2000-04-28",,"0.03","0.0","0.0","53","36","43"
"USC00190120","AMHERST, MA US","2000-04-29",,"0.04","0.0","0.0","55","29","34"
"USC00190120","AMHERST, MA US","2000-04-30",,"0.00","0.0","0.0","70","34","49"
"USC00190120","AMHERST, MA US","2000-05-01",,"0.00","0.0","0.0","59","31","36"
"USC00190120","AMHERST, MA US","2000-05-02",,"0.01","0.0","0.0","65","42","50"
"USC00190120","AMHERST, MA US","2000-05-03",,"0.00","0.0","0.0","64","32","38"
"USC00190120","AMHERST, MA US","2000-05-04",,"0.00","0.0","0.0","68","38","50"
"USC00190120","AMHERST, MA US","2000-05-05",,"0.00","0.0","0.0","71","36","55"
"USC00190120","AMHERST, MA US","2000-05-06",,"0.00","0.0","0.0","80","54","62"
"USC00190120","AMHERST, MA US","2000-05-07",,"0.00","0.0","0.0","83","53","58"
"USC00190120","AMHERST, MA US","2000-05-08",,"0.00","0.0","0.0","91","52","73"
"USC00190120","AMHERST, MA US","2000-05-09",,"0.28","0.0","0.0","90","61","65"
"USC00190120","AMHERST, MA US","2000-05-10",,"0.01","0.0","0.0","91","48","49"
"USC00190120","AMHERST, MA US","2000-05-11",,"1.15","0.0","0.0","50","45","47"
"USC00190120","AMHERST, MA US","2000-05-12",,"0.00","0.0","0.0","70","46","51"
"USC00190120","AMHERST, MA US","2000-05-13",,"0.19","0.0","0.0","67","50","55"
"USC00190120","AMHERST, MA US","2000-05-14",,"0.33","0.0","0.0","62","49","57"
"USC00190120","AMHERST, MA US","2000-05-15",,"0.00","0.0","0.0","70","38","47"
"USC00190120","AMHERST, MA US","2000-05-16",,"0.00","0.0","0.0","61","32","39"
"USC00190120","AMHERST, MA US","2000-05-17",,"0.00","0.0","0.0","68","37","49"
"USC00190120","AMHERST, MA US","2000-05-18",,"0.00","0.0","0.0","72","47","59"
"USC00190120","AMHERST, MA US","2000-05-19",,"0.54","0.0","0.0","72","47","47"
"USC00190120","AMHERST, MA US","2000-05-20",,"0.39","0.0","0.0","47","42","45"
"USC00190120","AMHERST, MA US","2000-05-21",,"0.04","0.0","0.0","59","46","50"
"USC00190120","AMHERST, MA US","2000-05-22",,"0.10","0.0","0.0","54","50","53"
"USC00190120","AMHERST, MA US","2000-05-23",,"0.05","0.0","0.0","60","50","52"
"USC00190120","AMHERST, MA US","2000-05-24",,"0.55","0.0","0.0","68","50","55"
"USC00190120","AMHERST, MA US","2000-05-25",,"0.52","0.0","0.0","70","53","58"
"USC00190120","AMHERST, MA US","2000-05-26",,"0.06","0.0","0.0","70","42","55"
"USC00190120","AMHERST, MA US","2000-05-27",,"0.00","0.0","0.0","69","46","58"
"USC00190120","AMHERST, MA US","2000-05-28",,"0.00","0.0","0.0","72","44","52"
"USC00190120","AMHERST, MA US","2000-05-29",,"0.04","0.0","0.0","64","51","54"
"USC00190120","AMHERST, MA US","2000-05-30",,"0.00","0.0","0.0","66","40","47"
"USC00190120","AMHERST, MA US","2000-05-31",,"0.00","0.0","0.0","71","43","48"
"USC00190120","AMHERST, MA US","2000-06-01",,"0.00","0.0","0.0","73","43","59"
"USC00190120","AMHERST, MA US","2000-06-02",,"0.00","0.0","0.0","87","57","62"
"USC00190120","AMHERST, MA US","2000-06-03",,"0.73","0.0","0.0","89","56","63"
"USC00190120","AMHERST, MA US","2000-06-04",,"0.00","0.0","0.0","74","42","49"
"USC00190120","AMHERST, MA US","2000-06-05",,"0.03","0.0","0.0","74","46","56"
"USC00190120","AMHERST, MA US","2000-06-06",,"0.00","0.0","0.0","65","53","55"
"USC00190120","AMHERST, MA US","2000-06-07",,"3.47","0.0","0.0","56","45","47"
"USC00190120","AMHERST, MA US","2000-06-08",,"0.00","0.0","0.0","70","43","49"
"USC00190120","AMHERST, MA US","2000-06-09",,"0.00","0.0","0.0","74","47","65"
"USC00190120","AMHERST, MA US","2000-06-10",,"0.04","0.0","0.0","78","60","73"
"USC00190120","AMHERST, MA US","2000-06-11",,"0.00","0.0","0.0","91","61","71"
"USC00190120","AMHERST, MA US","2000-06-12",,"1.52","0.0","0.0","88","48","52"
"USC00190120","AMHERST, MA US","2000-06-13",,"0.01","0.0","0.0","58","51","54"
"USC00190120","AMHERST, MA US","2000-06-14",,"0.53","0.0","0.0","65","49","52"
"USC00190120","AMHERST, MA US","2000-06-15",,"0.00","0.0","0.0","60","52","56"
"USC00190120","AMHERST, MA US","2000-06-16",,"0.00","0.0","0.0","69","54","66"
"USC00190120","AMHERST, MA US","2000-06-17",,"0.00","0.0","0.0","86","62","77"
"USC00190120","AMHERST, MA US","2000-06-18",,"0.17","0.0","0.0","89","52","59"
"USC00190120","AMHERST, MA US","2000-06-19",,"0.33","0.0","0.0","69","58","60"
"USC00190120","AMHERST, MA US","2000-06-20",,"0.00","0.0","0.0","76","49","59"
"USC00190120","AMHERST, MA US","2000-06-21",,"0.00","0.0","0.0","82","53","59"
"USC00190120","AMHERST, MA US","2000-06-22",,"0.15","0.0","0.0","80","47","69"
"USC00190120","AMHERST, MA US","2000-06-23",,"0.00","0.0","0.0","85","60","68"
"USC00190120","AMHERST, MA US","2000-06-24",,"0.00","0.0","0.0","81","52","66"
"USC00190120","AMHERST, MA US","2000-06-25",,"0.00","0.0","0.0","84","64","69"
